Exercise,Exercise Type,Movement Type,Muscle Group,Major Muscle,Minor Muscle,Notes,Modifications,Beginner,Intermediate,Advanced,Warmup
Anti-Rotation Rainbow,Weight,Pull,Core,Core,Oblique,Keep your core tight and shoulders far from your ears.,Easier: No Weight on the Bar,0,0,1,1
Arnold Press,Weight,Push,Shoulders,"Front Delt,Mid Delt","Biceps,Rear Delt",,,0,1,1,0
Battle Rope Wave,Plyo,Cardio,Full Body,Full Body,Arms,,,0,1,1,1
Bench Press,Weight,Push,Chest,Pecs,Triceps,"Pinch Shoulders, arch back and drive feet into the group","Incline, Decline",1,1,1,0
Bicep Curl,Weight,Pull,Arms,Bicep,,Don't use momentum. Make sure the movement is coming from the bottom half of your arm not your shoulder moving the weight.,,1,1,1,0
Bicycle Crunch,Calisthenics,Cardio,Core,Core,,"The lower the ""straight"" leg is to the ground the more challenging this exercise is.","Easier: Move Slower, Legs higher in the air, Harder: Keep shoulder blades off the ground entire time""",1,1,1,1
Bounds,Plyo,Push,Legs,Glutes,Outer Thigh,Do laps across the room of these.,Easier: Don't jump as high/far,1,1,1,1
Box Jumps,Plyo,Push,Legs,"Quads,Glutes,Calves",Core,"Don't be afraid, you can jump higher than you think. Just try it once.","Easier: Lower the height of the box and work up, Harder: Touch the ground with your opposite hand after each jump"", Harder: Jump Faster and higher boxes""",1,1,1,0
Box Toe Touch,Cardio,Cardio,Cardio,Cardio,Legs,,"Easier: Don't use a box, just practice toe touch without",1,1,1,1
Broad Jump,Plyo,Push,Cardio,Cardio,Legs,"You can do these for speed, or for distance. Speed = Cardio, Distance/Height = Plyo","Harder: Increase Speed""",1,1,1,1
Bulgarian Split Squat,Weight,Push,Legs,Quads,"Calves,Glutes",Use Single 30LB Dumbbell or an Olympic Bar,,0,0,1,0
Burpee,Plyo,Cardio,Cardio,Full Body,,"Option with half Bosu, Pushup Optional. Make sure you don't round your back","Easier: Don't Jump after, and break down motion squat, step legs back and no pushup, Harder: Speed, Harder still: add broad jump",1,1,1,1
Butt Kickers,Cardio,Cardio,Cardio,Cardio,Legs,"Do it like you mean it, or this exercise is a waste of time. ","Harder: Hold weights, move faster",1,1,1,1
Cable Woodchop,Weight,Pull,Core,Core,,The movement should originate from your core not your shoulders. The arms are just the vessel,,0,1,1,1
Calf Raise,Weight,Push,Legs,Calves,,"Play around with foot placement, some gyms also have machines for this",,1,1,1,0
Chest Press,Weight,Push,Chest,Pecs,Triceps,"You can do this lying on the ground, or on a bench top",,1,1,1,1
Compass Jump,Cardio,Cardio,Cardio,Full Body,,These can also be done with both feet on the ground.,"Easier: Both feet on the ground, or stepping instead of jumping",1,1,1,1
Crab Crawl,Calisthenics,Cardio,Full Body,Full Body,,,,1,1,1,1
Curtsey Lunges,Weight,Push,Legs,Quads,"Inner Thigh,Calves",,,0,0,1,1
Deadbug,Calisthenics,Pull,Core,Core,,Really good if you have lower back pain and want to do an ab workout,,1,1,1,1
Deadlift,Weight,Pull,"Full Body,Back,Legs","Mid Back,Lower Back,Hamstrings","Forearms,Traps,Lats",Form is absolutely VITAL,Dumbbells & Single Leg Variations available,1,1,1,1
Deficit Squat,Weight,Push,Legs,Quads,Glutes,,,0,1,1,1
Donkey Kick,Weight,Push,Legs,Glutes,,,"Easier: Don't use weights, Harder: Use heavy weights""",0,1,1,0
Fire Hydrant,Calisthenics,Push,Legs,Glutes,Outer Thigh,,Harder: Place a weight behind your kneecap,1,1,1,1
Flutter Kick,Calisthenics,Cardio,Core,Core,,Her neck looks like its undergoing some serious strain. Feel free to leave yours on the ground.,,1,1,1,0
Frogger,Plyo,Cardio,Full Body,Full Body,,,"Easier: Step Back instead of jumping back, Harder: Burpee",1,1,1,1
Front-Load Squat,Weight,Push,Legs,Quads,"Glutes,Core",Bar + 35LB,,0,1,1,0
Glute Bridge,Weight,Push,Legs,Glutes,,"If using weights, place in hip crease",,0,1,1,0
Glute Bridge March,Calisthenics,Pull,Legs,Glutes,Hamstrings,,,0,1,1,0
Glute Kickback,Weight,Pull,Legs,Glutes,Quads,,,0,1,1,1
Goblet Squat,Weight,Push,Legs,"Quads,Glutes",Core,,,1,1,1,1
Halo,Weight,Cardio,Shoulders,"Front Delt,Mid Delt,Rear Delt","Triceps,Biceps",,,1,1,1,1
Hamstring Curl,Weight,Pull,Legs,Hamstrings,,,,1,1,1,1
Heart Pump,Weight,Push,Full Body,Full Body,,,,1,1,1,1
High Knees,Cardio,Cardio,Full Body,Full Body,,"My coach always says, your high knees tells a lot about your dedication. Do yours like the guy in the gif. Get your knees up or don't bother!",Easier: Running on the spot,1,1,1,1
Leg Press,Weight,Push,Legs,"Quads,Glutes",Calves,,,1,1,1,1
Jacknife,Weight,Pull,Core,Core,,,,1,1,1,1
Jump Lunges,Plyo,Cardio,Cardio,Cardio,"Quads,Glutes",,"Easier: Split Jump, so don't go all the way down into a lunge. Or alternate between regular lunges and lunge jumps",1,1,1,1
